condition,onset,duration,value
root,12.0,2.0,1
root,24.75,2.0,1
root,40.5,2.0,1
root,58.25,2.0,1
root,79.0,2.0,1
root,94.75,2.0,1
root,111.5,2.0,1
root,130.25,2.0,1
root,152.0,2.0,1
root,168.75,2.0,1
root,186.5,2.0,1
root,207.25,2.0,1
root,223.0,2.0,1
root,240.75,2.0,1
root,255.5,2.0,1
root,270.25,2.0,1
root,291.0,2.0,1
root,309.75,2.0,1
root,327.5,2.0,1
root,341.25,2.0,1
root,360.0,2.0,1
root,375.75,2.0,1
root,392.5,2.0,1
root,411.25,2.0,1
root,426.0,2.0,1
choice,16.0,0.75,1
choice,30.75,0.75,1
choice,48.5,0.75,1
choice,64.25,0.75,1
choice,83.0,0.75,1
choice,101.75,0.75,1
choice,117.5,0.75,1
choice,136.25,0.75,1
choice,161.0,0.75,1
choice,174.75,0.75,1
choice,194.5,0.75,1
choice,213.25,0.75,1
choice,229.0,0.75,1
choice,245.75,0.75,1
choice,261.5,0.75,1
choice,278.25,0.75,1
choice,299.0,0.75,1
choice,314.75,0.75,1
choice,332.5,0.75,1
choice,349.25,0.75,1
choice,365.0,0.75,1
choice,383.75,0.75,1
choice,399.5,0.75,1
choice,418.25,0.75,1
choice,435.0,0.75,1
feedback,18.75,1.0,1
feedback,34.5,1.0,1
feedback,55.25,1.0,1
feedback,72.0,1.0,1
feedback,88.75,1.0,1
feedback,107.5,1.0,1
feedback,124.25,1.0,1
feedback,142.0,1.0,1
feedback,164.75,1.0,1
feedback,181.5,1.0,1
feedback,200.25,1.0,1
feedback,219.0,1.0,1
feedback,235.75,1.0,1
feedback,249.5,1.0,1
feedback,266.25,1.0,1
feedback,284.0,1.0,1
feedback,303.75,1.0,1
feedback,320.5,1.0,1
feedback,336.25,1.0,1
feedback,357.0,1.0,1
feedback,369.75,1.0,1
feedback,387.5,1.0,1
feedback,405.25,1.0,1
feedback,422.0,1.0,1
feedback,438.75,1.0,1
