condition,onset,duration,value
root,12.0,2.0,1
root,23.75,2.0,1
root,40.5,2.0,1
root,59.25,2.0,1
root,78.0,2.0,1
root,95.75,2.0,1
root,112.5,2.0,1
root,129.25,2.0,1
root,142.0,2.0,1
root,168.75,2.0,1
root,184.5,2.0,1
root,204.25,2.0,1
root,220.0,2.0,1
root,236.75,2.0,1
root,253.5,2.0,1
root,267.25,2.0,1
root,287.0,2.0,1
root,304.75,2.0,1
root,321.5,2.0,1
root,339.25,2.0,1
root,357.0,2.0,1
root,375.75,2.0,1
root,391.5,2.0,1
root,409.25,2.0,1
root,426.0,2.0,1
choice,17.0,0.75,1
choice,28.75,0.75,1
choice,47.5,0.75,1
choice,65.25,0.75,1
choice,86.0,0.75,1
choice,100.75,0.75,1
choice,118.5,0.75,1
choice,133.25,0.75,1
choice,151.0,0.75,1
choice,174.75,0.75,1
choice,190.5,0.75,1
choice,212.25,0.75,1
choice,228.0,0.75,1
choice,242.75,0.75,1
choice,257.5,0.75,1
choice,273.25,0.75,1
choice,293.0,0.75,1
choice,311.75,0.75,1
choice,329.5,0.75,1
choice,346.25,0.75,1
choice,363.0,0.75,1
choice,380.75,0.75,1
choice,399.5,0.75,1
choice,418.25,0.75,1
choice,434.0,0.75,1
feedback,20.75,1.0,1
feedback,34.5,1.0,1
feedback,53.25,1.0,1
feedback,71.0,1.0,1
feedback,92.75,1.0,1
feedback,105.5,1.0,1
feedback,124.25,1.0,1
feedback,136.0,1.0,1
feedback,158.75,1.0,1
feedback,178.5,1.0,1
feedback,197.25,1.0,1
feedback,217.0,1.0,1
feedback,232.75,1.0,1
feedback,248.5,1.0,1
feedback,261.25,1.0,1
feedback,281.0,1.0,1
feedback,299.75,1.0,1
feedback,317.5,1.0,1
feedback,333.25,1.0,1
feedback,352.0,1.0,1
feedback,369.75,1.0,1
feedback,384.5,1.0,1
feedback,405.25,1.0,1
feedback,422.0,1.0,1
feedback,437.75,1.0,1
