condition,onset,duration,value
root,12.0,2.0,1
root,23.75,2.0,1
root,41.5,2.0,1
root,62.25,2.0,1
root,79.0,2.0,1
root,92.75,2.0,1
root,110.5,2.0,1
root,129.25,2.0,1
root,150.0,2.0,1
root,167.75,2.0,1
root,186.5,2.0,1
root,204.25,2.0,1
root,223.0,2.0,1
root,243.75,2.0,1
root,253.5,2.0,1
root,275.25,2.0,1
root,292.0,2.0,1
root,308.75,2.0,1
root,325.5,2.0,1
root,341.25,2.0,1
root,359.0,2.0,1
root,371.75,2.0,1
root,389.5,2.0,1
root,405.25,2.0,1
root,424.0,2.0,1
choice,16.0,0.75,1
choice,31.75,0.75,1
choice,50.5,0.75,1
choice,67.25,0.75,1
choice,85.0,0.75,1
choice,100.75,0.75,1
choice,118.5,0.75,1
choice,136.25,0.75,1
choice,156.0,0.75,1
choice,173.75,0.75,1
choice,194.5,0.75,1
choice,212.25,0.75,1
choice,232.0,0.75,1
choice,247.75,0.75,1
choice,259.5,0.75,1
choice,280.25,0.75,1
choice,298.0,0.75,1
choice,315.75,0.75,1
choice,330.5,0.75,1
choice,348.25,0.75,1
choice,365.0,0.75,1
choice,376.75,0.75,1
choice,395.5,0.75,1
choice,413.25,0.75,1
choice,430.0,0.75,1
feedback,19.75,1.0,1
feedback,35.5,1.0,1
feedback,57.25,1.0,1
feedback,73.0,1.0,1
feedback,88.75,1.0,1
feedback,106.5,1.0,1
feedback,122.25,1.0,1
feedback,143.0,1.0,1
feedback,163.75,1.0,1
feedback,179.5,1.0,1
feedback,198.25,1.0,1
feedback,218.0,1.0,1
feedback,237.75,1.0,1
feedback,250.5,1.0,1
feedback,265.25,1.0,1
feedback,286.0,1.0,1
feedback,302.75,1.0,1
feedback,322.5,1.0,1
feedback,334.25,1.0,1
feedback,353.0,1.0,1
feedback,368.75,1.0,1
feedback,384.5,1.0,1
feedback,400.25,1.0,1
feedback,420.0,1.0,1
feedback,435.75,1.0,1
