condition,onset,duration,value
root,12.0,2.0,1
root,25.75,2.0,1
root,41.5,2.0,1
root,57.25,2.0,1
root,77.0,2.0,1
root,98.75,2.0,1
root,114.5,2.0,1
root,133.25,2.0,1
root,148.0,2.0,1
root,166.75,2.0,1
root,182.5,2.0,1
root,199.25,2.0,1
root,216.0,2.0,1
root,231.75,2.0,1
root,248.5,2.0,1
root,268.25,2.0,1
root,284.0,2.0,1
root,304.75,2.0,1
root,322.5,2.0,1
root,341.25,2.0,1
root,359.0,2.0,1
root,378.75,2.0,1
root,396.5,2.0,1
root,410.25,2.0,1
root,427.0,2.0,1
choice,16.0,0.75,1
choice,31.75,0.75,1
choice,47.5,0.75,1
choice,66.25,0.75,1
choice,85.0,0.75,1
choice,103.75,0.75,1
choice,122.5,0.75,1
choice,139.25,0.75,1
choice,154.0,0.75,1
choice,172.75,0.75,1
choice,190.5,0.75,1
choice,205.25,0.75,1
choice,221.0,0.75,1
choice,237.75,0.75,1
choice,257.5,0.75,1
choice,273.25,0.75,1
choice,291.0,0.75,1
choice,311.75,0.75,1
choice,328.5,0.75,1
choice,348.25,0.75,1
choice,367.0,0.75,1
choice,386.75,0.75,1
choice,401.5,0.75,1
choice,418.25,0.75,1
choice,431.0,0.75,1
feedback,18.75,1.0,1
feedback,37.5,1.0,1
feedback,53.25,1.0,1
feedback,73.0,1.0,1
feedback,92.75,1.0,1
feedback,107.5,1.0,1
feedback,126.25,1.0,1
feedback,145.0,1.0,1
feedback,160.75,1.0,1
feedback,176.5,1.0,1
feedback,196.25,1.0,1
feedback,213.0,1.0,1
feedback,224.75,1.0,1
feedback,242.5,1.0,1
feedback,264.25,1.0,1
feedback,279.0,1.0,1
feedback,294.75,1.0,1
feedback,317.5,1.0,1
feedback,335.25,1.0,1
feedback,353.0,1.0,1
feedback,372.75,1.0,1
feedback,390.5,1.0,1
feedback,406.25,1.0,1
feedback,422.0,1.0,1
feedback,436.75,1.0,1
