condition,onset,duration,value
root,12.0,2.0,1
root,21.75,2.0,1
root,37.5,2.0,1
root,50.25,2.0,1
root,69.0,2.0,1
root,88.75,2.0,1
root,105.5,2.0,1
root,124.25,2.0,1
root,139.0,2.0,1
root,156.75,2.0,1
root,178.5,2.0,1
root,196.25,2.0,1
root,210.0,2.0,1
root,226.75,2.0,1
root,241.5,2.0,1
root,260.25,2.0,1
root,278.0,2.0,1
root,293.75,2.0,1
root,313.5,2.0,1
root,331.25,2.0,1
root,345.0,2.0,1
root,363.75,2.0,1
root,384.5,2.0,1
root,403.25,2.0,1
root,424.0,2.0,1
choice,16.0,0.75,1
choice,26.75,0.75,1
choice,42.5,0.75,1
choice,58.25,0.75,1
choice,77.0,0.75,1
choice,95.75,0.75,1
choice,111.5,0.75,1
choice,131.25,0.75,1
choice,146.0,0.75,1
choice,164.75,0.75,1
choice,186.5,0.75,1
choice,202.25,0.75,1
choice,216.0,0.75,1
choice,232.75,0.75,1
choice,249.5,0.75,1
choice,268.25,0.75,1
choice,284.0,0.75,1
choice,302.75,0.75,1
choice,319.5,0.75,1
choice,335.25,0.75,1
choice,350.0,0.75,1
choice,372.75,0.75,1
choice,390.5,0.75,1
choice,408.25,0.75,1
choice,430.0,0.75,1
feedback,18.75,1.0,1
feedback,33.5,1.0,1
feedback,46.25,1.0,1
feedback,62.0,1.0,1
feedback,82.75,1.0,1
feedback,102.5,1.0,1
feedback,117.25,1.0,1
feedback,135.0,1.0,1
feedback,150.75,1.0,1
feedback,172.5,1.0,1
feedback,192.25,1.0,1
feedback,206.0,1.0,1
feedback,220.75,1.0,1
feedback,236.5,1.0,1
feedback,255.25,1.0,1
feedback,272.0,1.0,1
feedback,290.75,1.0,1
feedback,308.5,1.0,1
feedback,324.25,1.0,1
feedback,339.0,1.0,1
feedback,357.75,1.0,1
feedback,379.5,1.0,1
feedback,396.25,1.0,1
feedback,414.0,1.0,1
feedback,435.75,1.0,1
