condition,onset,duration,value
root,12.0,2.0,1
root,25.75,2.0,1
root,44.5,2.0,1
root,61.25,2.0,1
root,76.0,2.0,1
root,87.75,2.0,1
root,110.5,2.0,1
root,129.25,2.0,1
root,148.0,2.0,1
root,162.75,2.0,1
root,181.5,2.0,1
root,201.25,2.0,1
root,215.0,2.0,1
root,233.75,2.0,1
root,253.5,2.0,1
root,271.25,2.0,1
root,291.0,2.0,1
root,306.75,2.0,1
root,324.5,2.0,1
root,342.25,2.0,1
root,359.0,2.0,1
root,373.75,2.0,1
root,394.5,2.0,1
root,406.25,2.0,1
root,424.0,2.0,1
choice,17.0,0.75,1
choice,32.75,0.75,1
choice,49.5,0.75,1
choice,68.25,0.75,1
choice,81.0,0.75,1
choice,93.75,0.75,1
choice,116.5,0.75,1
choice,137.25,0.75,1
choice,155.0,0.75,1
choice,168.75,0.75,1
choice,189.5,0.75,1
choice,205.25,0.75,1
choice,223.0,0.75,1
choice,239.75,0.75,1
choice,259.5,0.75,1
choice,279.25,0.75,1
choice,300.0,0.75,1
choice,312.75,0.75,1
choice,330.5,0.75,1
choice,350.25,0.75,1
choice,367.0,0.75,1
choice,382.75,0.75,1
choice,398.5,0.75,1
choice,411.25,0.75,1
choice,430.0,0.75,1
feedback,20.75,1.0,1
feedback,38.5,1.0,1
feedback,55.25,1.0,1
feedback,72.0,1.0,1
feedback,83.75,1.0,1
feedback,100.5,1.0,1
feedback,122.25,1.0,1
feedback,143.0,1.0,1
feedback,158.75,1.0,1
feedback,174.5,1.0,1
feedback,194.25,1.0,1
feedback,209.0,1.0,1
feedback,229.75,1.0,1
feedback,247.5,1.0,1
feedback,267.25,1.0,1
feedback,285.0,1.0,1
feedback,303.75,1.0,1
feedback,318.5,1.0,1
feedback,335.25,1.0,1
feedback,354.0,1.0,1
feedback,370.75,1.0,1
feedback,388.5,1.0,1
feedback,403.25,1.0,1
feedback,418.0,1.0,1
feedback,436.75,1.0,1
