condition,onset,duration,value
root,12.0,2.0,1
root,21.75,2.0,1
root,39.5,2.0,1
root,59.25,2.0,1
root,74.0,2.0,1
root,90.75,2.0,1
root,109.5,2.0,1
root,130.25,2.0,1
root,145.0,2.0,1
root,161.75,2.0,1
root,181.5,2.0,1
root,199.25,2.0,1
root,219.0,2.0,1
root,234.75,2.0,1
root,255.5,2.0,1
root,273.25,2.0,1
root,289.0,2.0,1
root,306.75,2.0,1
root,322.5,2.0,1
root,343.25,2.0,1
root,358.0,2.0,1
root,376.75,2.0,1
root,389.5,2.0,1
root,408.25,2.0,1
root,428.0,2.0,1
choice,16.0,0.75,1
choice,27.75,0.75,1
choice,47.5,0.75,1
choice,64.25,0.75,1
choice,80.0,0.75,1
choice,97.75,0.75,1
choice,114.5,0.75,1
choice,138.25,0.75,1
choice,151.0,0.75,1
choice,169.75,0.75,1
choice,187.5,0.75,1
choice,207.25,0.75,1
choice,224.0,0.75,1
choice,243.75,0.75,1
choice,263.5,0.75,1
choice,277.25,0.75,1
choice,296.0,0.75,1
choice,311.75,0.75,1
choice,330.5,0.75,1
choice,349.25,0.75,1
choice,365.0,0.75,1
choice,382.75,0.75,1
choice,395.5,0.75,1
choice,417.25,0.75,1
choice,434.0,0.75,1
feedback,18.75,1.0,1
feedback,33.5,1.0,1
feedback,54.25,1.0,1
feedback,68.0,1.0,1
feedback,84.75,1.0,1
feedback,103.5,1.0,1
feedback,120.25,1.0,1
feedback,142.0,1.0,1
feedback,154.75,1.0,1
feedback,177.5,1.0,1
feedback,193.25,1.0,1
feedback,213.0,1.0,1
feedback,228.75,1.0,1
feedback,250.5,1.0,1
feedback,267.25,1.0,1
feedback,284.0,1.0,1
feedback,302.75,1.0,1
feedback,317.5,1.0,1
feedback,336.25,1.0,1
feedback,354.0,1.0,1
feedback,372.75,1.0,1
feedback,386.5,1.0,1
feedback,401.25,1.0,1
feedback,421.0,1.0,1
feedback,437.75,1.0,1
