,run,root,Image1,Image2,IT_root_im1,IT_root_im2,IT_im1_im2,V2_root_im1,V2_root_im2,V2_im1_im2,cat_root,cat_im1,cat_im2,concept_root,concept_im1,concept_im2,V2_im2_minus_im1,IT_im2_minus_im1,IT_most_similar,V2_most_similar,left_right,left_right_root,LeftIm,RightIm,IT_most_similar_lr,V2_most_similar_lr,rew_probs,block_order,sub,resp,lr_root,choice_rt,choice,choice_bin,resp_bin,decision_dur,run_mode,root_times,choice_times,feedback_times,rew,isi_root,isi_choice,iti,bank,choice_incl_late_responses,choice_bin_incl_late_responses,resp_bin_incl_late_responses,choice_rt_incl_late_responses
12,1,178_1.jpg,178_2.jpg,178_3.jpg,-0.288182845,0.689438223,-0.068401104,0.117705525,-0.020656894,0.04222784,television,grasshopper,pinball,Unclassified,animal,Unclassified,-0.138362419,0.9776210679999999,im2,im1,left,right,178_2.jpg,178_3.jpg,right,left,1.0,IT,401,1,right,0.45457020902540535,Image1,0.0,1.0,1,behavior,215.24293516698526,221.24753624998266,226.2535657089902,0.0,4,4,5,13,Image1,0.0,1.0,0.45457020902540535
13,1,25_1.jpg,25_2.jpg,25_3.jpg,0.41355701100000003,0.788129402,0.300927134,0.026047601,0.129168107,0.04208288,aluminum_foil,stockings,string_cheese,Unclassified,clothing,food,0.103120506,0.3745723910000001,im2,im2,right,left,25_3.jpg,25_2.jpg,left,left,1.0,IT,401,2,left,0.437678791990038,Image1,0.0,0.0,1,behavior,232.2606434999616,238.2654302919982,244.27486987499287,0.0,4,5,5,13,Image1,0.0,0.0,0.437678791990038
14,1,60_1.jpg,60_2.jpg,60_3.jpg,-0.18635975800000001,0.664168423,-0.110090644,0.06017401,0.040108115,0.044431384000000004,tiara,calf1,shoelace,clothing,animal,Unclassified,-0.020065895,0.8505281809999999,im2,im1,left,left,60_2.jpg,60_3.jpg,right,left,1.0,IT,401,1,left,0.8036984580103308,Image1,0.0,1.0,1,behavior,250.28388399997493,256.2897821670049,262.2954405840137,0.0,4,5,3,13,Image1,0.0,1.0,0.8036984580103308
15,1,192_1.jpg,192_2.jpg,192_3.jpg,-0.421078624,0.787081255,-0.410599755,0.018842368,0.061003681,0.052058995,barbell,cilantro,shield,sports equipment,food,Unclassified,0.042161312999999985,1.208159879,im2,im2,left,right,192_2.jpg,192_3.jpg,right,right,1.0,IT,401,2,right,0.6177189580048434,Image2,1.0,0.0,1,behavior,266.30133441695943,274.30666920897784,280.31201420899015,1.0,6,5,4,13,Image2,1.0,0.0,0.6177189580048434
16,1,212_1.jpg,212_2.jpg,212_3.jpg,-0.127049778,0.11556331,-0.022677522999999998,0.08536064800000001,0.041025703,0.054581775,cilantro,bison,barrette,food,animal,Unclassified,-0.044334945,0.242613088,im2,im1,right,right,212_3.jpg,212_2.jpg,left,right,1.0,IT,401,1,right,0.5521915419958532,Image2,1.0,1.0,1,behavior,285.31724825000856,293.32258325000294,297.3295102919801,1.0,6,3,9,13,Image2,1.0,1.0,0.5521915419958532
17,1,290_1.jpg,290_2.jpg,290_3.jpg,-0.482261812,0.727068678,-0.259328365,0.021397076,0.045641639000000005,0.043491875,thorn,kimono,cocoon,body part,clothing,Unclassified,0.024244563,1.20933049,im2,im2,right,right,290_3.jpg,290_2.jpg,left,left,1.0,IT,401,1,right,0.5201438330113888,Image2,1.0,1.0,1,behavior,307.33830329199554,313.3439322919585,316.3500925420085,1.0,4,2,2,13,Image2,1.0,1.0,0.5201438330113888
18,1,162_1.jpg,162_2.jpg,162_3.jpg,-0.19052529,0.662583181,-0.116072897,0.09306058800000001,0.036210315,0.036457302000000004,aircraft_carrier,bun,crane,vehicle,Unclassified,Unclassified,-0.056850273,0.8531084710000001,im2,im1,right,right,162_3.jpg,162_2.jpg,left,right,1.0,IT,401,1,right,0.6562778750085272,Image2,1.0,1.0,1,behavior,319.35506816697307,324.35985087498557,332.3660686669755,1.0,3,7,6,13,Image2,1.0,1.0,0.6562778750085272
19,1,49_1.jpg,49_2.jpg,49_3.jpg,0.013583912,0.613039742,0.035843333,0.031369912,0.183666045,0.030800279,mulberry,parking_meter,patty,fruit,Unclassified,food,0.152296133,0.59945583,im2,im2,right,right,49_3.jpg,49_2.jpg,left,left,1.0,IT,401,1,right,0.4660635000327602,Image2,1.0,1.0,1,behavior,339.37310279201483,343.3792813749751,347.3850724590011,1.0,2,3,5,13,Image2,1.0,1.0,0.4660635000327602
20,1,79_1.jpg,79_2.jpg,79_3.jpg,-0.25016297600000004,0.722469219,-0.233668562,0.1661734,0.013439065,0.063817995,mulberry,trap,arugula,fruit,Unclassified,plant,-0.152734335,0.972632195,im2,im1,left,left,79_2.jpg,79_3.jpg,right,left,1.0,IT,401,2,left,0.5523164999904111,Image2,1.0,0.0,1,behavior,353.39055320899934,359.39767337497324,365.4050497499993,1.0,4,5,6,13,Image2,1.0,0.0,0.5523164999904111
21,1,261_1.jpg,261_2.jpg,261_3.jpg,-0.247988695,0.611091982,0.017592293000000002,0.06775348099999999,0.041540783,0.05927967,crayfish,slot_machine,beetle,animal,Unclassified,animal,-0.02621269800000001,0.859080677,im2,im1,left,left,261_2.jpg,261_3.jpg,right,left,1.0,IT,401,1,left,0.47407954098889604,Image1,0.0,1.0,1,behavior,372.41281787498156,380.41845995897893,388.42458212497877,0.0,6,7,5,13,Image1,0.0,1.0,0.47407954098889604
22,1,0_1.jpg,0_2.jpg,0_3.jpg,0.10583230699999999,0.218777626,-0.086585614,0.065103598,0.089808999,0.037974415,gravestone,pajamas,javelin,Unclassified,clothing,sports equipment,0.024705401,0.112945319,im2,im2,right,left,0_3.jpg,0_2.jpg,left,left,1.0,IT,401,2,left,0.568794583028648,Image1,0.0,0.0,1,behavior,394.4305165419937,401.4361064169789,405.4429876669892,0.0,5,3,3,13,Image1,0.0,0.0,0.568794583028648
23,1,112_1.jpg,112_2.jpg,112_3.jpg,0.151071285,0.403651218,0.402123005,0.073651551,0.02865921,0.013972248999999999,cornbread,cummerbund,dishwashing_liquid,food,Unclassified,Unclassified,-0.044992340999999984,0.25257993300000003,im2,im1,left,right,112_2.jpg,112_3.jpg,right,left,1.0,IT,401,1,right,0.5559219589922577,Image1,0.0,1.0,1,behavior,409.4483087499975,418.45418825000525,424.4630758750136,0.0,7,5,5,13,Image1,0.0,1.0,0.5559219589922577
24,1,100_1.jpg,100_2.jpg,100_3.jpg,0.085154884,0.205064523,0.40039205200000005,0.011838363999999999,0.022102563,0.035084481,breadbox,fishhook,sorbet,container,Unclassified,dessert,0.010264198999999998,0.119909639,im2,im2,left,right,100_2.jpg,100_3.jpg,right,right,1.0,IT,401,1,right,0.7377067920169793,Image1,0.0,1.0,1,behavior,430.47061762498925,438.47668016696116,443.48265074996743,0.0,6,4,4,13,Image1,0.0,1.0,0.7377067920169793
25,2,53_1.jpg,53_2.jpg,53_3.jpg,0.105233366,0.830104046,0.066656103,0.014842261,0.075218247,-0.007443374,souffle,guitar,steak,food,musical instrument,Unclassified,0.060375986,0.72487068,im2,im2,right,right,53_3.jpg,53_2.jpg,left,left,1.0,IT,401,1,right,0.5715104169794358,Image2,1.0,1.0,1,behavior,1.0047632919740863,5.010556749999523,8.01988308300497,1.0,2,2,2,16,Image2,1.0,1.0,0.5715104169794358
26,2,150_1.jpg,150_2.jpg,150_3.jpg,0.057176847,0.785858664,0.160239629,0.101444399,0.09058878,0.066122344,souffle,headlight,latte,food,Unclassified,food,-0.010855619000000009,0.728681817,im2,im1,left,right,150_2.jpg,150_3.jpg,right,left,1.0,IT,401,2,right,0.5615573339746334,Image2,1.0,0.0,1,behavior,11.026326457969844,20.03153870801907,25.037952499988023,1.0,7,4,3,16,Image2,1.0,0.0,0.5615573339746334
27,2,148_1.jpg,148_2.jpg,148_3.jpg,-0.044076427,0.566209426,0.109871267,0.23939075,0.089832173,0.098511316,stingray,cucumber,seal,animal,vegetable,animal,-0.14955857700000005,0.6102858529999999,im2,im1,left,right,148_2.jpg,148_3.jpg,right,left,1.0,IT,401,1,right,0.6224258339498192,Image1,0.0,1.0,1,behavior,29.043209499970544,33.04876120801782,40.05521891696844,0.0,2,6,6,16,Image1,0.0,1.0,0.6224258339498192
28,2,39_1.jpg,39_2.jpg,39_3.jpg,-0.24959006399999997,0.22827617100000003,-0.19226769600000002,0.161134733,0.0026386870000000002,0.013350608,latch,fingerprint,stir_fry,Unclassified,Unclassified,Unclassified,-0.158496046,0.477866235,im2,im1,left,left,39_2.jpg,39_3.jpg,right,left,1.0,IT,401,1,left,0.7672329160268418,Image1,0.0,1.0,1,behavior,47.06030075001763,52.06662541697733,60.07302270800574,0.0,3,7,4,16,Image1,0.0,1.0,0.7672329160268418
29,2,18_1.jpg,18_2.jpg,18_3.jpg,0.147360607,0.399878933,0.23022727899999998,0.010007102,0.1486666,0.056903522000000005,batter,tackle,lightbulb,food,Unclassified,Unclassified,0.13865949800000002,0.252518326,im2,im2,left,left,18_2.jpg,18_3.jpg,right,right,1.0,IT,401,2,left,0.8702978340443224,Image2,1.0,0.0,1,behavior,65.07842879201053,72.08390708296793,80.09161424997728,1.0,5,7,4,16,Image2,1.0,0.0,0.8702978340443224
30,2,137_1.jpg,137_2.jpg,137_3.jpg,-0.057497751,0.435754404,0.290419577,0.023028516000000002,0.14230552800000001,0.016271837,bat2,macadamia,chive,animal,fruit,plant,0.119277012,0.493252155,im2,im2,left,left,137_2.jpg,137_3.jpg,right,right,1.0,IT,401,2,left,0.5388999590068124,Image2,1.0,0.0,1,behavior,85.09734974999446,91.10206020798068,95.10980829200707,1.0,4,3,6,16,Image2,1.0,0.0,0.5388999590068124
31,2,44_1.jpg,44_2.jpg,44_3.jpg,0.008063022,0.621499995,-0.11152343199999999,0.05554995099999999,0.128962998,0.051336499,salami,ram,bracelet2,Unclassified,animal,animal,0.073413047,0.613436973,im2,im2,right,left,44_3.jpg,44_2.jpg,left,left,1.0,IT,401,2,left,0.47461408301023766,Image1,0.0,0.0,1,behavior,102.11575187498238,110.12220199999865,116.13262350001605,0.0,6,5,5,16,Image1,0.0,0.0,0.47461408301023766
32,2,287_1.jpg,287_2.jpg,287_3.jpg,-0.37652377600000003,0.7196582159999999,-0.199056385,0.002920984,0.12268756300000001,0.089612785,bagpipe,grapevine,trombone,musical instrument,plant,musical instrument,0.119766579,1.096181992,im2,im2,left,right,287_2.jpg,287_3.jpg,right,right,1.0,IT,401,2,right,0.5086438750149682,Image2,1.0,0.0,1,behavior,122.13768791698385,130.14336279197596,134.1535631250008,1.0,6,3,5,16,Image2,1.0,0.0,0.5086438750149682
33,2,185_1.jpg,185_2.jpg,185_3.jpg,-0.26853811699999997,0.82988403,-0.24484104899999998,0.071999428,-0.01731751,0.053752342,handkerchief,trolley,washcloth,Unclassified,container,Unclassified,-0.08931693800000001,1.098422147,im2,im1,right,right,185_3.jpg,185_2.jpg,left,right,1.0,IT,401,2,right,0.64188050001394,Image1,0.0,0.0,1,behavior,140.1607545830193,146.16628620796837,152.1736614999827,0.0,4,5,4,16,Image1,0.0,0.0,0.64188050001394
34,2,8_1.jpg,8_2.jpg,8_3.jpg,0.458340595,0.5784814460000001,0.42929263,-0.009091724,0.125040656,0.032119153,drink,stethoscope,pepper_mill,Unclassified,Unclassified,Unclassified,0.13413238,0.12014085099999995,im2,im2,right,left,8_3.jpg,8_2.jpg,left,left,1.0,IT,401,1,left,0.4342159170191735,Image2,1.0,1.0,1,behavior,157.1789637079928,163.18280624999898,169.18995575001463,1.0,4,5,5,16,Image2,1.0,1.0,0.4342159170191735
35,2,235_1.jpg,235_2.jpg,235_3.jpg,-0.005535258,0.488714327,-0.038764605,0.092507916,0.00127154,0.049719822000000004,money,gutter,drink,Unclassified,Unclassified,Unclassified,-0.091236376,0.494249585,im2,im1,left,right,235_2.jpg,235_3.jpg,right,left,1.0,IT,401,1,right,0.8028945829719305,Image1,0.0,1.0,1,behavior,175.1959882079973,181.20183637499576,187.2142490419792,0.0,4,5,6,16,Image1,0.0,1.0,0.8028945829719305
36,2,63_1.jpg,63_2.jpg,63_3.jpg,-0.033820962999999996,0.822156129,-0.241800045,0.047410928,0.121291904,0.09004041199999999,reindeer,mattress,reindeer,animal,Unclassified,animal,0.07388097600000001,0.855977092,im2,im2,left,left,63_2.jpg,63_3.jpg,right,right,1.0,IT,401,2,left,0.585537499981001,Image2,1.0,0.0,1,behavior,194.22215362498537,199.2287601249991,206.2408507919754,1.0,3,6,9,16,Image2,1.0,0.0,0.585537499981001
37,2,104_1.jpg,104_2.jpg,104_3.jpg,0.07904032400000001,0.19393368100000002,-0.194504719,0.122838171,0.037898623,0.031955611,pizza,cockatoo,wire_cutters,food,animal,tool,-0.084939548,0.11489335699999999,im2,im1,right,right,104_3.jpg,104_2.jpg,left,right,1.0,IT,401,2,right,0.7214186250348575,Image1,0.0,0.0,1,behavior,216.2501980829984,221.2561819999828,225.26262991700787,0.0,3,3,3,16,Image1,0.0,0.0,0.7214186250348575
38,2,225_1.jpg,225_2.jpg,225_3.jpg,-0.109206676,0.259552779,-0.15960286699999998,-0.02427239,0.073151085,0.024947451000000002,asparagus,icicle,coffee_table,vegetable,Unclassified,furniture,0.097423475,0.368759455,im2,im2,right,right,225_3.jpg,225_2.jpg,left,left,1.0,IT,401,1,right,0.462763250048738,Image2,1.0,1.0,1,behavior,229.27235983300488,236.27862491697306,242.28534645796753,1.0,5,5,6,16,Image2,1.0,1.0,0.462763250048738
39,2,164_1.jpg,164_2.jpg,164_3.jpg,-0.15788870000000002,0.6936334679999999,-0.197564031,0.104570806,0.02494047,0.030862311,handcuff,porthole,clipper1,Unclassified,Unclassified,animal,-0.079630336,0.851522168,im2,im1,right,left,164_3.jpg,164_2.jpg,left,right,1.0,IT,401,2,left,0.42216000001644716,Image1,0.0,0.0,1,behavior,249.29125995800132,255.29713416699087,260.3095747079933,0.0,4,4,3,16,Image1,0.0,0.0,0.42216000001644716
40,2,258_1.jpg,258_2.jpg,258_3.jpg,-0.10226235199999999,0.624769836,0.048766832,-0.006411718,0.138270934,0.039818028,bucket,ladybug,insole,container,animal,Unclassified,0.14468265200000002,0.727032188,im2,im2,right,right,258_3.jpg,258_2.jpg,left,left,1.0,IT,401,1,right,0.6599249170394614,Image2,1.0,1.0,1,behavior,264.31588474998716,271.3221318749711,275.32673037500354,1.0,5,3,5,16,Image2,1.0,1.0,0.6599249170394614
41,2,22_1.jpg,22_2.jpg,22_3.jpg,0.174827674,0.5429850620000001,0.019359403,0.09891749999999999,0.044685108,0.041595064,router,wetsuit,radar,Unclassified,clothing,Unclassified,-0.054232392,0.368157388,im2,im1,left,left,22_2.jpg,22_3.jpg,right,left,1.0,IT,401,2,left,0.6122842920012772,Image2,1.0,0.0,1,behavior,281.3326673330157,287.3383128750138,293.3474572079722,1.0,4,5,2,16,Image2,1.0,0.0,0.6122842920012772
42,2,34_1.jpg,34_2.jpg,34_3.jpg,0.112196147,0.60768299,0.018967341000000002,0.031162996000000002,0.10871705699999999,0.001587598,paper_towel,loincloth,paper_plate,Unclassified,clothing,Unclassified,0.07755406100000001,0.49548684299999995,im2,im2,right,right,34_3.jpg,34_2.jpg,left,left,1.0,IT,401,1,right,0.3933208749513142,Image2,1.0,1.0,1,behavior,296.35118508298183,304.3567897080211,310.36847233300796,1.0,6,5,3,16,Image2,1.0,1.0,0.3933208749513142
43,2,111_1.jpg,111_2.jpg,111_3.jpg,0.162349609,0.40752009299999997,0.117008238,0.041010708,0.06331429400000001,0.042368456,guitar,fossil,pumpkin,musical instrument,Unclassified,vegetable,0.022303585999999997,0.245170484,im2,im2,left,left,111_2.jpg,111_3.jpg,right,right,1.0,IT,401,1,left,0.6888980829971842,Image1,0.0,1.0,1,behavior,314.3748829580145,320.3801717919996,324.38735808298225,0.0,4,3,5,16,Image1,0.0,1.0,0.6888980829971842
44,2,180_1.jpg,180_2.jpg,180_3.jpg,-0.27948458,0.810958338,-0.302553169,0.085304289,0.07013924099999999,0.028116200000000004,pizza,cloak,lasagna,food,clothing,food,-0.015165048,1.090442918,im2,im1,right,right,180_3.jpg,180_2.jpg,left,right,1.0,IT,401,1,right,0.6484784159692936,Image2,1.0,1.0,1,behavior,330.392873417004,339.39903179201065,346.4082899579662,1.0,7,6,5,16,Image2,1.0,1.0,0.6484784159692936
45,2,78_1.jpg,78_2.jpg,78_3.jpg,-0.236791495,0.7460574000000001,-0.272962823,0.1218847,-0.021536332000000002,-0.021482612,ravioli,minivan,zucchini,Unclassified,container,vegetable,-0.143421032,0.982848895,im2,im1,left,left,78_2.jpg,78_3.jpg,right,left,1.0,IT,401,2,left,0.5879986669751815,Image2,1.0,0.0,1,behavior,352.4146908749826,358.41919037501793,364.4247876669979,1.0,4,5,4,16,Image2,1.0,0.0,0.5879986669751815
46,2,158_1.jpg,158_2.jpg,158_3.jpg,-0.16205927,0.56964682,-0.24510030800000002,0.030892494,0.17134013899999997,0.027155737000000003,scoop,hammock,icepick,container,furniture,tool,0.140447645,0.73170609,im2,im2,left,right,158_2.jpg,158_3.jpg,right,right,1.0,IT,401,1,right,0.6872210829751566,Image1,0.0,1.0,1,behavior,369.4297726249788,374.4359011250199,379.44172000000253,0.0,3,4,5,16,Image1,0.0,1.0,0.6872210829751566
47,2,284_1.jpg,284_2.jpg,284_3.jpg,-0.312833682,0.775285905,-0.048760335999999994,0.054619912,0.13196021,0.008610198000000001,sparkler,jacket,sparkler,Unclassified,clothing,Unclassified,0.077340298,1.088119587,im2,im2,right,left,284_3.jpg,284_2.jpg,left,left,1.0,IT,401,1,left,0.6996318339952268,Image2,1.0,1.0,1,behavior,385.4473155000014,393.4530175830005,397.45910833298694,1.0,6,3,2,16,Image2,1.0,1.0,0.6996318339952268
48,2,96_1.jpg,96_2.jpg,96_3.jpg,-0.28218212800000003,0.9377559459999999,-0.291834704,0.049415864000000004,0.157217179,0.049089172,snake,stereo,snake,animal,Unclassified,animal,0.107801315,1.219938074,im2,im2,right,left,96_3.jpg,96_2.jpg,left,left,1.0,IT,401,1,left,0.5119238750194199,Image2,1.0,1.0,1,behavior,400.46593750000466,408.472522749973,412.4800887919846,1.0,6,3,5,16,Image2,1.0,1.0,0.5119238750194199
49,2,221_1.jpg,221_2.jpg,221_3.jpg,-0.270922912,0.10399312,0.290545773,0.083215043,0.044532233,0.026346475,coop,mulberry,urn,Unclassified,fruit,container,-0.038682810000000005,0.374916032,im2,im1,left,left,221_2.jpg,221_3.jpg,right,left,1.0,IT,401,2,left,0.750566832954064,Image2,1.0,0.0,1,behavior,418.4864506669692,426.490966250014,433.50325479201274,1.0,6,6,3,16,Image2,1.0,0.0,0.750566832954064
50,3,278_1.jpg,278_2.jpg,278_3.jpg,-0.17735950399999997,0.80438372,-0.301230669,0.137163714,-0.0016370529999999999,0.04917707599999999,margarita,bull,juice,food,animal,food,-0.138800767,0.981743224,im2,im1,left,right,278_2.jpg,278_3.jpg,right,left,1.0,IT,401,2,right,0.596670750004705,Image2,1.0,0.0,1,behavior,1.0058211670257151,5.011908292013686,8.019099375000224,1.0,2,2,2,17,Image2,1.0,0.0,0.596670750004705
51,3,297_1.jpg,297_2.jpg,297_3.jpg,-0.39938291200000003,0.82602361,-0.321291321,0.024199286,0.145535217,0.014416123999999999,pasta,stump,baklava,Unclassified,Unclassified,Unclassified,0.121335931,1.225406522,im2,im2,left,right,297_2.jpg,297_3.jpg,right,right,1.0,IT,401,2,right,0.5739707500324585,Image2,1.0,0.0,1,behavior,11.024729292024858,17.030301916995086,23.04631804197561,1.0,4,5,5,17,Image2,1.0,0.0,0.5739707500324585
52,3,13_1.jpg,13_2.jpg,13_3.jpg,-0.10188828400000001,0.13699979699999998,0.396015026,0.055503447000000004,-0.009598753,0.019792228999999998,sea_urchin,bumper,key,animal,Unclassified,Unclassified,-0.0651022,0.238888081,im2,im1,right,left,13_3.jpg,13_2.jpg,left,right,1.0,IT,401,1,left,0.5885630419943482,Image2,1.0,1.0,1,behavior,29.05546466697706,37.06121675000759,44.07503716700012,1.0,6,6,4,17,Image2,1.0,1.0,0.5885630419943482
53,3,224_1.jpg,224_2.jpg,224_3.jpg,0.181708554,0.544371959,0.392030764,-0.002468264,0.06767799099999999,0.051170464000000006,incense,drill,can_opener,Unclassified,tool,tool,0.070146255,0.3626634050000001,im2,im2,right,left,224_3.jpg,224_2.jpg,left,left,1.0,IT,401,2,left,0.7631635840516537,Image1,0.0,0.0,1,behavior,49.08553716697497,54.09181662497576,58.09878691699123,0.0,3,3,5,17,Image1,0.0,0.0,0.7631635840516537
54,3,92_1.jpg,92_2.jpg,92_3.jpg,-0.288021353,0.924104203,-0.342877695,0.07308058,0.12245822699999999,0.073749235,rhinoceros,tiramisu,rhinoceros,animal,dessert,animal,0.049377647000000004,1.212125556,im2,im2,right,left,92_3.jpg,92_2.jpg,left,left,1.0,IT,401,1,left,0.500101583020296,Image2,1.0,1.0,1,behavior,64.10518800001591,70.11071845900733,75.11785987502662,1.0,4,4,5,17,Image2,1.0,1.0,0.500101583020296
55,3,282_1.jpg,282_2.jpg,282_3.jpg,-0.47936823,0.620403884,-0.373408289,0.036367585,0.08987826,0.01921576,mushroom,bobsled,hail,Unclassified,vehicle,Unclassified,0.053510675,1.099772114,im2,im2,right,right,282_3.jpg,282_2.jpg,left,left,1.0,IT,401,1,right,0.5357394589809701,Image2,1.0,1.0,1,behavior,81.12546000001021,88.13141362502938,94.13793129200349,1.0,5,5,5,17,Image2,1.0,1.0,0.5357394589809701
