condition,onset,duration,value
root,12.0,2.0,1
root,25.75,2.0,1
root,39.5,2.0,1
root,64.25,2.0,1
root,76.0,2.0,1
root,86.75,2.0,1
root,103.5,2.0,1
root,123.25,2.0,1
root,143.0,2.0,1
root,160.75,2.0,1
root,180.5,2.0,1
root,197.25,2.0,1
root,217.0,2.0,1
root,229.75,2.0,1
root,247.5,2.0,1
root,260.25,2.0,1
root,276.0,2.0,1
root,293.75,2.0,1
root,309.5,2.0,1
root,328.25,2.0,1
root,350.0,2.0,1
root,365.75,2.0,1
root,388.5,2.0,1
root,405.25,2.0,1
root,422.0,2.0,1
root,444.75,2.0,1
root,459.5,2.0,1
root,482.25,2.0,1
root,493.0,2.0,1
root,513.75,2.0,1
choice,17.0,0.75,1
choice,32.75,0.75,1
choice,45.5,0.75,1
choice,70.25,0.75,1
choice,81.0,0.75,1
choice,95.75,0.75,1
choice,109.5,0.75,1
choice,129.25,0.75,1
choice,150.0,0.75,1
choice,169.75,0.75,1
choice,187.5,0.75,1
choice,205.25,0.75,1
choice,221.0,0.75,1
choice,234.75,0.75,1
choice,251.5,0.75,1
choice,267.25,0.75,1
choice,282.0,0.75,1
choice,299.75,0.75,1
choice,318.5,0.75,1
choice,337.25,0.75,1
choice,355.0,0.75,1
choice,371.75,0.75,1
choice,394.5,0.75,1
choice,413.25,0.75,1
choice,430.0,0.75,1
choice,451.75,0.75,1
choice,465.5,0.75,1
choice,486.25,0.75,1
choice,503.0,0.75,1
choice,520.75,0.75,1
feedback,19.75,1.0,1
feedback,36.5,1.0,1
feedback,53.25,1.0,1
feedback,73.0,1.0,1
feedback,83.75,1.0,1
feedback,100.5,1.0,1
feedback,115.25,1.0,1
feedback,134.0,1.0,1
feedback,154.75,1.0,1
feedback,173.5,1.0,1
feedback,193.25,1.0,1
feedback,210.0,1.0,1
feedback,223.75,1.0,1
feedback,243.5,1.0,1
feedback,254.25,1.0,1
feedback,270.0,1.0,1
feedback,290.75,1.0,1
feedback,305.5,1.0,1
feedback,324.25,1.0,1
feedback,342.0,1.0,1
feedback,360.75,1.0,1
feedback,384.5,1.0,1
feedback,398.25,1.0,1
feedback,418.0,1.0,1
feedback,436.75,1.0,1
feedback,456.5,1.0,1
feedback,475.25,1.0,1
feedback,490.0,1.0,1
feedback,510.75,1.0,1
feedback,525.5,1.0,1
