condition,onset,duration,value
root,12.0,2.0,1
root,21.75,2.0,1
root,40.5,2.0,1
root,63.25,2.0,1
root,77.0,2.0,1
root,92.75,2.0,1
root,117.5,2.0,1
root,136.25,2.0,1
root,151.0,2.0,1
root,164.75,2.0,1
root,181.5,2.0,1
root,196.25,2.0,1
root,215.0,2.0,1
root,227.75,2.0,1
root,244.5,2.0,1
root,260.25,2.0,1
root,287.0,2.0,1
root,299.75,2.0,1
root,314.5,2.0,1
root,328.25,2.0,1
root,347.0,2.0,1
root,362.75,2.0,1
root,382.5,2.0,1
root,403.25,2.0,1
root,426.0,2.0,1
root,447.75,2.0,1
root,461.5,2.0,1
root,480.25,2.0,1
root,499.0,2.0,1
root,515.75,2.0,1
choice,16.0,0.75,1
choice,27.75,0.75,1
choice,46.5,0.75,1
choice,69.25,0.75,1
choice,82.0,0.75,1
choice,101.75,0.75,1
choice,123.5,0.75,1
choice,143.25,0.75,1
choice,157.0,0.75,1
choice,170.75,0.75,1
choice,185.5,0.75,1
choice,204.25,0.75,1
choice,222.0,0.75,1
choice,232.75,0.75,1
choice,253.5,0.75,1
choice,267.25,0.75,1
choice,292.0,0.75,1
choice,304.75,0.75,1
choice,318.5,0.75,1
choice,335.25,0.75,1
choice,353.0,0.75,1
choice,372.75,0.75,1
choice,390.5,0.75,1
choice,410.25,0.75,1
choice,432.0,0.75,1
choice,453.75,0.75,1
choice,468.5,0.75,1
choice,489.25,0.75,1
choice,508.0,0.75,1
choice,523.75,0.75,1
feedback,18.75,1.0,1
feedback,36.5,1.0,1
feedback,54.25,1.0,1
feedback,73.0,1.0,1
feedback,87.75,1.0,1
feedback,109.5,1.0,1
feedback,129.25,1.0,1
feedback,148.0,1.0,1
feedback,161.75,1.0,1
feedback,175.5,1.0,1
feedback,188.25,1.0,1
feedback,209.0,1.0,1
feedback,224.75,1.0,1
feedback,236.5,1.0,1
feedback,256.25,1.0,1
feedback,276.0,1.0,1
feedback,295.75,1.0,1
feedback,311.5,1.0,1
feedback,324.25,1.0,1
feedback,341.0,1.0,1
feedback,356.75,1.0,1
feedback,375.5,1.0,1
feedback,396.25,1.0,1
feedback,423.0,1.0,1
feedback,441.75,1.0,1
feedback,458.5,1.0,1
feedback,473.25,1.0,1
feedback,494.0,1.0,1
feedback,512.75,1.0,1
feedback,526.5,1.0,1
