condition,onset,duration,value
root,12.0,2.0,1
root,23.75,2.0,1
root,36.5,2.0,1
root,53.25,2.0,1
root,73.0,2.0,1
root,88.75,2.0,1
root,112.5,2.0,1
root,128.25,2.0,1
root,145.0,2.0,1
root,160.75,2.0,1
root,181.5,2.0,1
root,200.25,2.0,1
root,213.0,2.0,1
root,226.75,2.0,1
root,249.5,2.0,1
root,267.25,2.0,1
root,282.0,2.0,1
root,303.75,2.0,1
root,319.5,2.0,1
root,340.25,2.0,1
root,361.0,2.0,1
root,377.75,2.0,1
root,390.5,2.0,1
root,410.25,2.0,1
root,426.0,2.0,1
root,442.75,2.0,1
root,459.5,2.0,1
root,480.25,2.0,1
root,492.0,2.0,1
root,516.75,2.0,1
choice,18.0,0.75,1
choice,30.75,0.75,1
choice,43.5,0.75,1
choice,59.25,0.75,1
choice,80.0,0.75,1
choice,96.75,0.75,1
choice,117.5,0.75,1
choice,134.25,0.75,1
choice,149.0,0.75,1
choice,169.75,0.75,1
choice,189.5,0.75,1
choice,206.25,0.75,1
choice,219.0,0.75,1
choice,233.75,0.75,1
choice,255.5,0.75,1
choice,273.25,0.75,1
choice,288.0,0.75,1
choice,308.75,0.75,1
choice,327.5,0.75,1
choice,345.25,0.75,1
choice,370.0,0.75,1
choice,384.75,0.75,1
choice,400.5,0.75,1
choice,415.25,0.75,1
choice,435.0,0.75,1
choice,446.75,0.75,1
choice,466.5,0.75,1
choice,484.25,0.75,1
choice,501.0,0.75,1
choice,522.75,0.75,1
feedback,20.75,1.0,1
feedback,33.5,1.0,1
feedback,49.25,1.0,1
feedback,65.0,1.0,1
feedback,82.75,1.0,1
feedback,105.5,1.0,1
feedback,121.25,1.0,1
feedback,139.0,1.0,1
feedback,154.75,1.0,1
feedback,175.5,1.0,1
feedback,196.25,1.0,1
feedback,209.0,1.0,1
feedback,222.75,1.0,1
feedback,243.5,1.0,1
feedback,260.25,1.0,1
feedback,277.0,1.0,1
feedback,296.75,1.0,1
feedback,311.5,1.0,1
feedback,332.25,1.0,1
feedback,358.0,1.0,1
feedback,374.75,1.0,1
feedback,387.5,1.0,1
feedback,406.25,1.0,1
feedback,423.0,1.0,1
feedback,439.75,1.0,1
feedback,454.5,1.0,1
feedback,471.25,1.0,1
feedback,489.0,1.0,1
feedback,505.75,1.0,1
feedback,526.5,1.0,1
