condition,onset,duration,value
root,12.0,2.0,1
root,26.75,2.0,1
root,42.5,2.0,1
root,61.25,2.0,1
root,77.0,2.0,1
root,93.75,2.0,1
root,113.5,2.0,1
root,136.25,2.0,1
root,152.0,2.0,1
root,163.75,2.0,1
root,180.5,2.0,1
root,197.25,2.0,1
root,214.0,2.0,1
root,240.75,2.0,1
root,251.5,2.0,1
root,274.25,2.0,1
root,289.0,2.0,1
root,310.75,2.0,1
root,328.5,2.0,1
root,341.25,2.0,1
root,357.0,2.0,1
root,373.75,2.0,1
root,391.5,2.0,1
root,415.25,2.0,1
root,433.0,2.0,1
root,446.75,2.0,1
root,462.5,2.0,1
root,479.25,2.0,1
root,502.0,2.0,1
root,515.75,2.0,1
choice,16.0,0.75,1
choice,34.75,0.75,1
choice,51.5,0.75,1
choice,70.25,0.75,1
choice,83.0,0.75,1
choice,99.75,0.75,1
choice,118.5,0.75,1
choice,142.25,0.75,1
choice,158.0,0.75,1
choice,170.75,0.75,1
choice,186.5,0.75,1
choice,203.25,0.75,1
choice,222.0,0.75,1
choice,245.75,0.75,1
choice,258.5,0.75,1
choice,283.25,0.75,1
choice,296.0,0.75,1
choice,317.75,0.75,1
choice,334.5,0.75,1
choice,349.25,0.75,1
choice,362.0,0.75,1
choice,382.75,0.75,1
choice,401.5,0.75,1
choice,422.25,0.75,1
choice,437.0,0.75,1
choice,453.75,0.75,1
choice,467.5,0.75,1
choice,485.25,0.75,1
choice,506.0,0.75,1
choice,521.75,0.75,1
feedback,18.75,1.0,1
feedback,39.5,1.0,1
feedback,57.25,1.0,1
feedback,74.0,1.0,1
feedback,87.75,1.0,1
feedback,107.5,1.0,1
feedback,128.25,1.0,1
feedback,146.0,1.0,1
feedback,160.75,1.0,1
feedback,173.5,1.0,1
feedback,189.25,1.0,1
feedback,207.0,1.0,1
feedback,234.75,1.0,1
feedback,248.5,1.0,1
feedback,267.25,1.0,1
feedback,286.0,1.0,1
feedback,301.75,1.0,1
feedback,325.5,1.0,1
feedback,338.25,1.0,1
feedback,354.0,1.0,1
feedback,367.75,1.0,1
feedback,387.5,1.0,1
feedback,410.25,1.0,1
feedback,429.0,1.0,1
feedback,442.75,1.0,1
feedback,458.5,1.0,1
feedback,472.25,1.0,1
feedback,491.0,1.0,1
feedback,510.75,1.0,1
feedback,526.5,1.0,1
