condition,onset,duration,value
root,12.0,2.0,1
root,23.75,2.0,1
root,36.5,2.0,1
root,51.25,2.0,1
root,66.0,2.0,1
root,78.75,2.0,1
root,101.5,2.0,1
root,118.25,2.0,1
root,136.0,2.0,1
root,151.75,2.0,1
root,167.5,2.0,1
root,182.25,2.0,1
root,210.0,2.0,1
root,226.75,2.0,1
root,243.5,2.0,1
root,264.25,2.0,1
root,276.0,2.0,1
root,293.75,2.0,1
root,309.5,2.0,1
root,332.25,2.0,1
root,350.0,2.0,1
root,371.75,2.0,1
root,382.5,2.0,1
root,403.25,2.0,1
root,422.0,2.0,1
root,446.75,2.0,1
root,462.5,2.0,1
root,475.25,2.0,1
root,495.0,2.0,1
root,514.75,2.0,1
choice,18.0,0.75,1
choice,29.75,0.75,1
choice,45.5,0.75,1
choice,56.25,0.75,1
choice,71.0,0.75,1
choice,83.75,0.75,1
choice,107.5,0.75,1
choice,125.25,0.75,1
choice,142.0,0.75,1
choice,157.75,0.75,1
choice,173.5,0.75,1
choice,191.25,0.75,1
choice,216.0,0.75,1
choice,230.75,0.75,1
choice,251.5,0.75,1
choice,270.25,0.75,1
choice,283.0,0.75,1
choice,300.75,0.75,1
choice,315.5,0.75,1
choice,342.25,0.75,1
choice,358.0,0.75,1
choice,375.75,0.75,1
choice,389.5,0.75,1
choice,411.25,0.75,1
choice,431.0,0.75,1
choice,451.75,0.75,1
choice,469.5,0.75,1
choice,484.25,0.75,1
choice,502.0,0.75,1
choice,518.75,0.75,1
feedback,20.75,1.0,1
feedback,32.5,1.0,1
feedback,48.25,1.0,1
feedback,62.0,1.0,1
feedback,75.75,1.0,1
feedback,96.5,1.0,1
feedback,112.25,1.0,1
feedback,130.0,1.0,1
feedback,144.75,1.0,1
feedback,161.5,1.0,1
feedback,178.25,1.0,1
feedback,199.0,1.0,1
feedback,221.75,1.0,1
feedback,239.5,1.0,1
feedback,257.25,1.0,1
feedback,273.0,1.0,1
feedback,290.75,1.0,1
feedback,305.5,1.0,1
feedback,324.25,1.0,1
feedback,347.0,1.0,1
feedback,367.75,1.0,1
feedback,379.5,1.0,1
feedback,395.25,1.0,1
feedback,416.0,1.0,1
feedback,437.75,1.0,1
feedback,455.5,1.0,1
feedback,472.25,1.0,1
feedback,488.0,1.0,1
feedback,506.75,1.0,1
feedback,524.5,1.0,1
