condition,onset,duration,value
root,12.0,2.0,1
root,22.75,2.0,1
root,43.5,2.0,1
root,63.25,2.0,1
root,76.0,2.0,1
root,92.75,2.0,1
root,109.5,2.0,1
root,128.25,2.0,1
root,149.0,2.0,1
root,168.75,2.0,1
root,183.5,2.0,1
root,201.25,2.0,1
root,223.0,2.0,1
root,240.75,2.0,1
root,254.5,2.0,1
root,268.25,2.0,1
root,289.0,2.0,1
root,307.75,2.0,1
root,327.5,2.0,1
root,339.25,2.0,1
root,356.0,2.0,1
root,371.75,2.0,1
root,397.5,2.0,1
root,413.25,2.0,1
root,428.0,2.0,1
root,443.75,2.0,1
root,458.5,2.0,1
root,477.25,2.0,1
root,499.0,2.0,1
root,512.75,2.0,1
choice,17.0,0.75,1
choice,30.75,0.75,1
choice,49.5,0.75,1
choice,69.25,0.75,1
choice,85.0,0.75,1
choice,99.75,0.75,1
choice,118.5,0.75,1
choice,133.25,0.75,1
choice,155.0,0.75,1
choice,172.75,0.75,1
choice,189.5,0.75,1
choice,206.25,0.75,1
choice,229.0,0.75,1
choice,244.75,0.75,1
choice,260.5,0.75,1
choice,277.25,0.75,1
choice,296.0,0.75,1
choice,314.75,0.75,1
choice,332.5,0.75,1
choice,343.25,0.75,1
choice,364.0,0.75,1
choice,379.75,0.75,1
choice,403.5,0.75,1
choice,420.25,0.75,1
choice,434.0,0.75,1
choice,450.75,0.75,1
choice,467.5,0.75,1
choice,483.25,0.75,1
choice,506.0,0.75,1
choice,522.75,0.75,1
feedback,19.75,1.0,1
feedback,36.5,1.0,1
feedback,54.25,1.0,1
feedback,72.0,1.0,1
feedback,89.75,1.0,1
feedback,104.5,1.0,1
feedback,121.25,1.0,1
feedback,146.0,1.0,1
feedback,162.75,1.0,1
feedback,180.5,1.0,1
feedback,195.25,1.0,1
feedback,215.0,1.0,1
feedback,237.75,1.0,1
feedback,250.5,1.0,1
feedback,265.25,1.0,1
feedback,282.0,1.0,1
feedback,301.75,1.0,1
feedback,320.5,1.0,1
feedback,335.25,1.0,1
feedback,348.0,1.0,1
feedback,368.75,1.0,1
feedback,389.5,1.0,1
feedback,407.25,1.0,1
feedback,423.0,1.0,1
feedback,437.75,1.0,1
feedback,454.5,1.0,1
feedback,474.25,1.0,1
feedback,488.0,1.0,1
feedback,508.75,1.0,1
feedback,526.5,1.0,1
