condition,onset,duration,value
root,12.0,2.0,1
root,23.75,2.0,1
root,35.5,2.0,1
root,50.25,2.0,1
root,73.0,2.0,1
root,91.75,2.0,1
root,106.5,2.0,1
root,125.25,2.0,1
root,141.0,2.0,1
root,156.75,2.0,1
root,181.5,2.0,1
root,200.25,2.0,1
root,217.0,2.0,1
root,237.75,2.0,1
root,252.5,2.0,1
root,262.25,2.0,1
root,285.0,2.0,1
root,298.75,2.0,1
root,319.5,2.0,1
root,333.25,2.0,1
root,351.0,2.0,1
root,363.75,2.0,1
root,381.5,2.0,1
root,403.25,2.0,1
root,425.0,2.0,1
root,436.75,2.0,1
root,454.5,2.0,1
root,472.25,2.0,1
root,494.0,2.0,1
root,514.75,2.0,1
choice,17.0,0.75,1
choice,27.75,0.75,1
choice,40.5,0.75,1
choice,59.25,0.75,1
choice,80.0,0.75,1
choice,97.75,0.75,1
choice,113.5,0.75,1
choice,133.25,0.75,1
choice,149.0,0.75,1
choice,163.75,0.75,1
choice,189.5,0.75,1
choice,206.25,0.75,1
choice,227.0,0.75,1
choice,243.75,0.75,1
choice,256.5,0.75,1
choice,268.25,0.75,1
choice,291.0,0.75,1
choice,303.75,0.75,1
choice,326.5,0.75,1
choice,339.25,0.75,1
choice,357.0,0.75,1
choice,369.75,0.75,1
choice,387.5,0.75,1
choice,412.25,0.75,1
choice,430.0,0.75,1
choice,445.75,0.75,1
choice,458.5,0.75,1
choice,479.25,0.75,1
choice,503.0,0.75,1
choice,521.75,0.75,1
feedback,19.75,1.0,1
feedback,31.5,1.0,1
feedback,44.25,1.0,1
feedback,65.0,1.0,1
feedback,84.75,1.0,1
feedback,103.5,1.0,1
feedback,118.25,1.0,1
feedback,138.0,1.0,1
feedback,153.75,1.0,1
feedback,176.5,1.0,1
feedback,194.25,1.0,1
feedback,211.0,1.0,1
feedback,231.75,1.0,1
feedback,246.5,1.0,1
feedback,259.25,1.0,1
feedback,274.0,1.0,1
feedback,293.75,1.0,1
feedback,311.5,1.0,1
feedback,330.25,1.0,1
feedback,347.0,1.0,1
feedback,359.75,1.0,1
feedback,378.5,1.0,1
feedback,396.25,1.0,1
feedback,416.0,1.0,1
feedback,432.75,1.0,1
feedback,451.5,1.0,1
feedback,468.25,1.0,1
feedback,486.0,1.0,1
feedback,507.75,1.0,1
feedback,527.5,1.0,1
