condition,onset,duration,value
root,12.0,2.0,1
root,25.75,2.0,1
root,38.5,2.0,1
root,55.25,2.0,1
root,72.0,2.0,1
root,86.75,2.0,1
root,103.5,2.0,1
root,121.25,2.0,1
root,142.0,2.0,1
root,165.75,2.0,1
root,180.5,2.0,1
root,199.25,2.0,1
root,217.0,2.0,1
root,229.75,2.0,1
root,250.5,2.0,1
root,264.25,2.0,1
root,280.0,2.0,1
root,295.75,2.0,1
root,313.5,2.0,1
root,337.25,2.0,1
root,356.0,2.0,1
root,377.75,2.0,1
root,396.5,2.0,1
root,406.25,2.0,1
root,430.0,2.0,1
root,452.75,2.0,1
root,467.5,2.0,1
root,484.25,2.0,1
root,500.0,2.0,1
root,513.75,2.0,1
choice,16.0,0.75,1
choice,32.75,0.75,1
choice,42.5,0.75,1
choice,61.25,0.75,1
choice,79.0,0.75,1
choice,94.75,0.75,1
choice,112.5,0.75,1
choice,130.25,0.75,1
choice,150.0,0.75,1
choice,171.75,0.75,1
choice,189.5,0.75,1
choice,205.25,0.75,1
choice,223.0,0.75,1
choice,234.75,0.75,1
choice,256.5,0.75,1
choice,269.25,0.75,1
choice,288.0,0.75,1
choice,305.75,0.75,1
choice,322.5,0.75,1
choice,342.25,0.75,1
choice,362.0,0.75,1
choice,384.75,0.75,1
choice,400.5,0.75,1
choice,411.25,0.75,1
choice,436.0,0.75,1
choice,458.75,0.75,1
choice,474.5,0.75,1
choice,491.25,0.75,1
choice,506.0,0.75,1
choice,520.75,0.75,1
feedback,21.75,1.0,1
feedback,35.5,1.0,1
feedback,51.25,1.0,1
feedback,64.0,1.0,1
feedback,82.75,1.0,1
feedback,99.5,1.0,1
feedback,117.25,1.0,1
feedback,136.0,1.0,1
feedback,158.75,1.0,1
feedback,177.5,1.0,1
feedback,192.25,1.0,1
feedback,210.0,1.0,1
feedback,226.75,1.0,1
feedback,242.5,1.0,1
feedback,261.25,1.0,1
feedback,272.0,1.0,1
feedback,292.75,1.0,1
feedback,310.5,1.0,1
feedback,328.25,1.0,1
feedback,350.0,1.0,1
feedback,366.75,1.0,1
feedback,391.5,1.0,1
feedback,403.25,1.0,1
feedback,424.0,1.0,1
feedback,445.75,1.0,1
feedback,462.5,1.0,1
feedback,480.25,1.0,1
feedback,494.0,1.0,1
feedback,510.75,1.0,1
feedback,524.5,1.0,1
