,run,root,Image1,Image2,IT_root_im1,IT_root_im2,IT_im1_im2,V2_root_im1,V2_root_im2,V2_im1_im2,cat_root,cat_im1,cat_im2,concept_root,concept_im1,concept_im2,V2_im2_minus_im1,IT_im2_minus_im1,IT_most_similar,V2_most_similar,left_right,LeftIm,RightIm,IT_most_similar_lr,V2_most_similar_lr,rew_probs,block_order,sub,resp,semantic_resp,choice_rt,semantic_rt,choice,choice_bin,resp_bin,decision_dur,run_mode,root_times,choice_times,feedback_times,rew,isi_root,isi_choice,iti,bank,choice_incl_late_responses,choice_bin_incl_late_responses,resp_bin_incl_late_responses,choice_rt_incl_late_responses
0,1,265_1.jpg,265_2.jpg,265_3.jpg,-0.23270527600000002,0.621456829,-0.293161386,0.116622724,0.025837528,0.047641607,folder,tumbleweed,hot_tub,Unclassified,plant,container,-0.090785196,0.854162105,im2,im1,right,265_3.jpg,265_2.jpg,left,right,0.85,V2,f201,1,2,0.5021620689999509,0.7349629119999008,Image2,1.0,1.0,1,behavior,1.0163584900001297,6.033090606000087,11.050040851999938,1.0,3,4,3,14,Image2,1.0,1.0,0.5021620689999509
1,1,249_1.jpg,249_2.jpg,249_3.jpg,0.043924124,0.654273248,0.35596642,0.019237359,0.16974724300000002,0.056648252,bike,deodorant,bike,container,Unclassified,container,0.15050988399999998,0.610349124,im2,im2,left,249_2.jpg,249_3.jpg,right,right,0.85,V2,f201,2,2,0.45212176099994394,0.8288988780000182,Image2,1.0,0.0,1,behavior,15.066360237000026,20.08308256400005,24.099689389000105,1.0,3,3,2,14,Image2,1.0,0.0,0.45212176099994394
2,1,122_1.jpg,122_2.jpg,122_3.jpg,0.00692402,0.365817306,0.110137216,0.067356115,0.012443041,0.051972465,tackle,weather_vane,refrigerator,Unclassified,Unclassified,Unclassified,-0.054913073999999985,0.35889328600000003,im2,im1,left,122_2.jpg,122_3.jpg,right,left,0.85,V2,f201,2,2,0.7778846070000327,0.9707799409998188,Image2,1.0,0.0,1,behavior,27.116373489000125,32.13339109399999,36.14973174800002,0.0,3,3,6,14,Image2,1.0,0.0,0.7778846070000327
3,1,86_1.jpg,86_2.jpg,86_3.jpg,-0.307267224,0.78381535,-0.34235211600000004,-0.014926928999999999,0.09825163199999999,0.026625882000000003,tablet,wheat,binder,Unclassified,food,Unclassified,0.113178561,1.091082574,im2,im2,right,86_3.jpg,86_2.jpg,left,left,0.85,V2,f201,1,2,0.5201691340000707,0.8646361309999975,Image2,1.0,1.0,1,behavior,43.16670124899997,49.18306933100007,55.19993614400005,1.0,4,5,3,14,Image2,1.0,1.0,0.5201691340000707
4,1,124_1.jpg,124_2.jpg,124_3.jpg,-0.141222826,0.232775626,0.279659528,0.018176595,0.102867529,0.072554547,gate,cantaloupe,corkboard,Unclassified,fruit,Unclassified,0.08469093400000001,0.373998452,im2,im2,left,124_2.jpg,124_3.jpg,right,right,0.85,V2,f201,2,2,0.517858040999954,0.6708273879999069,Image2,1.0,0.0,1,behavior,59.21636007300003,68.23337713000001,74.249659844,0.0,7,5,5,14,Image2,1.0,0.0,0.517858040999954
5,1,145_1.jpg,145_2.jpg,145_3.jpg,-0.144367569,0.461842605,0.124373098,0.063907178,0.16332405,0.09222289800000001,turntable,poppy,paper_plate,Unclassified,plant,Unclassified,0.09941687199999999,0.606210174,im2,im2,right,145_3.jpg,145_2.jpg,left,left,0.85,V2,f201,1,2,0.5001319679997778,0.6525243000000955,Image2,1.0,1.0,1,behavior,80.26665533300002,86.28305654300016,92.30000380299998,1.0,4,5,4,14,Image2,1.0,1.0,0.5001319679997778
6,1,245_1.jpg,245_2.jpg,245_3.jpg,0.22245356800000002,0.8238668290000001,0.251433705,0.036462617,0.129142587,0.058525556,hash,razor_blade,tiramisu,food,tool,dessert,0.09267997,0.601413261,im2,im2,right,245_3.jpg,245_2.jpg,left,left,0.85,V2,f201,1,2,0.5298663159999251,0.6348240950001127,Image2,1.0,1.0,1,behavior,97.31644172699998,103.33339072600006,110.34973298099999,0.0,4,6,6,14,Image2,1.0,1.0,0.5298663159999251
7,1,251_1.jpg,251_2.jpg,251_3.jpg,-0.149930374,0.573845807,-0.020333312,0.051120287,0.08836624400000001,0.087017579,rifle,guinea_pig,ukulele,weapon,animal,musical instrument,0.037245957,0.723776181,im2,im2,left,251_2.jpg,251_3.jpg,right,right,0.85,V2,f201,2,2,0.6321593879999909,0.6805338550000215,Image2,1.0,0.0,1,behavior,117.36666473200012,125.38306511400015,132.400032882,1.0,6,6,2,14,Image2,1.0,0.0,0.6321593879999909
8,1,184_1.jpg,184_2.jpg,184_3.jpg,-0.21736053800000002,0.884451315,-0.22756320100000002,0.000809441,0.089306669,0.017727054,shawl,warthog,skirt,clothing,animal,clothing,0.08849722800000001,1.101811853,im2,im2,right,184_3.jpg,184_2.jpg,left,left,0.85,V2,f201,1,2,0.6061082090000127,0.7989044830001149,Image2,1.0,1.0,1,behavior,135.41635874899998,139.43303458200012,143.45009623800001,1.0,2,3,5,14,Image2,1.0,1.0,0.6061082090000127
9,1,229_1.jpg,229_2.jpg,229_3.jpg,0.093997065,0.46151502,0.37223690200000004,-0.004258593,0.159326947,0.043280267000000004,pedometer,shower_curtain,melon,Unclassified,Unclassified,fruit,0.16358554,0.367517955,im2,im2,left,229_2.jpg,229_3.jpg,right,right,0.85,V2,f201,1,2,,0.9969867330000852,missed,,,1,behavior,149.46628583000006,156.48330361500007,160.48331105500006,,5,3,4,14,Image1,0.0,1.0,1.1318979899999704
